SKU,Megnevezés,Auchan,Tesco,Egyéb,Power Life,Power Life,VL Euro,VL Euro,Genoxy Eladási ár db.,Genoxy Eladási ár karton,karton db
61,"San Benedetto Bio 0,4l(Citrom-Barack)",,,290,239,2868/12,,,269,3228,12
62,"San Benedetto Succoso Zero 0,4l(Frutta Mix,Frutti Rossi)",,,275,219,2628/12,,,249,2988,12
63,"San Benedetto Ice Tea 0,33l(Citrom-Barack-Zöd Tea)",,,169,139,3336/24,,,159,3816,24
64,"Kubu Play 0,4l(Multivitamin,Görögdinnye,Sárgarépa-alma-eper-lime,Sárgarépa-almalime-málna)",245,245,,179,2148/12,,,229,2748,12
65,"Kubu víz 0,5l(Alma,Eper,Citrom,Málna)",259,259/245,249,179,2148/12,,,229,2748,12
66,"Kubu Püré 100g(Alma,Eper,Barack)",159,179,,129,1548/12,,,149,1788,12
67,"Vitatigris Gyümölcspüré 90g(100%Banán,100%Eper,100%Körte)",,169/139,,125,2500/20,,,145,2900,20
68,"Rauch Yippy 0,33l(Alma,Multivitamin,Narancs,Őszibarack,Piros gyümölcs(Red berry)Cherry,Eper)",239,239,,179,2148/12,,,219,2628,12
69,"Jana ásványvíz 1,5l(Citrom-limetta,Eper-guava,Alma-lics,Kék áfonya-vörösáfonya,Narancs-gyömbér,Menta-lime,Szölő-mirabella)",279,,,199,1194/6,,,239,1434,6
70,"Jana Vitamin activity;Vitamin immuno,Kolagen beauty 0,5l",,279,,199,1194/6,,,239,1434,6
71,"Jana ásványvíz 0,5l(Citrom-lime,Eper-guava,Kék áfonya)",199,199,,140,840/6,,,169,1014,6
72,Jana Baby 1l,179/129,,,140,840/6,,,169,1014,6
73,"Jana Baby 0,25l",149,149,,99,594/6,,,129,774,6
74,"Jana Ice Tea 1,5l(Zöld tea-citrom;Meggy-rooibos)",359,359,,239,1434/6,,,269,1614,6
75,"Jana Ice Tea 1,5l (Barack;Erdei gyümölcs;Citrom)",359,359,,219,1314/6,,,269,1614,6
76,"Jana Ice Tea 0,5l(Barack,Erdei gyümölcs,Citrom)",229,,,185,1110/6,,,205,1230,6
77,"Apenta 1,5l(Szőlő,Narancs,Meggy mámor,Málna,Grapefruit,Bodza)",249/169,249/169,,165,990/6,,,185,1110,6
78,"Apenta Light 1,5l(Kaktuszfüge,Málna,Grapefruit-pomelo,Narancs)",169,249/169,,165,990/6,,,185,1110,6
79,"Apenta Rio 1,5l(Maracuja-jaca,Acai-sárkánygyümölcs)",169,249/169,,165,990/6,,,185,1110,6
80,"Apenta Exotic 1,5l(Citrom-citromfű,Lime-Tonic,Trópusi mix)",169,249/169,,165,990/6,,,185,1110,6
81,"Apenta Vitamixx 1,5l(Áfonya-levendula,Alma-mangó,Narancs-grapefruit,Eper-vörösáfonya)",169,249/169,,165,990/6,,,185,1110,6
82,"Szentkirályi limonádé 1,5l(Szamóca,Vadmálna,Jaffa,Vadszőlő,Citrom)",249,249,,169,1014/6,158,948/6,198,1188,6
83,"Szentkirályi ásványvíz 0,5l(Szénsavas,szénsavmentes)",99,105,,85,1530/18,75,1350/18,95,1710,18
84,"Szentkirályi limonádé 0,5l(Szamóca,Jaffa,Citrom)",,,,125,1500/12,,,155,1860,12
85,"Szentkirályi ásványvíz 1,5l(Szénsavas,szénsavmentes)",109,129/109,,,,95,570/6,105,630,6
86,"Szentkirályi ásványvíz O2 1,5l",219,,,,,118,708/6,159,954,6
87,"Kristályvíz 1,5l",,,,95,570/6,,,,,
88,"Kristályvíz 0,5l",,,,85,2040/25,,,,,
89,"Visegrádi ásványvíz 0,5l",,69,,,,56,672/12,,,
90,"Visegrádi ásványvíz 1,5l",84,89,,,,69,414/6,,,
91,"Peridot lúgos ásványvíz 1,5l(szénsavmentes)",269,269,,160,960/6,,,199,1194,6
92,"Vöslauer 0,75l(Eper-bors,Citrom-gyömbér,Pink grapefruit,Vörös szőlő,Uborka-bodza,Alma-vörösáfonya,Mangó-barack,Málna-citrom)",399,399,,245,1470/6,,,309,1854,6
93,"VIWA vitaminos ásványvíz 0,5l(Vitality,Immunity,Everyday,Bodypro)",,269,220,179,2148/12,,,209,2508,12
94,"Bomba üveges 0,25l(Classic)",169/139,169,,119,1428/12,125,1500/12,149,1788,12
95,"Bomba 0,6l(Classic)",199,269,,199,2388/12,,,229,1374,6
96,"Bomba dobozos 0,25l(Classic,Cukormentes,Mojito,Bodza,Zero,Alma Zero,Eper-menta)",169/139,169,,119,1428/12,125,3000/24,149,1788,12
97,"Lipton Ice Tea 1,5l(Zöld tea,Barack,Málna,Citrom)",319,319/249,,289,2601/9,,,309,2781,9
98,"Lipton Ice Tea 0,5l(Citrom,Zöld tea,Barack,Málna,Vörösáfonya-eper,Lime-menta)",229,229,,185,2220/12,,,215,2580,12
99,"Lipton Ice Tea 0,33l(Citrom,Barack,Zöld tea)",,189,,119,2856/24,,,149,3576,24
100,"Pfanner Pure Tea 1l(Gyümölcsös,Zöld tea)",399,399,,309,1854/6,,,339,2034,6
101,"Pfanner Green Tea 0,5l(Zöld)",,,199,185,2220/12,,,195,2340,12
102,"Pfanner Ice Tea 0,5l(Citrom,Barack)",,,199,185,2220/12,,,195,2340,12
103,"Mizo Coffee Selection 330ml(Espresso,Americano,Laktózmentes cappuccino,Melange,Kapuciner,Flat White,Doppio,Latte Macchiato,Espresso no sugar)",239,,189,189,2835/15,,,219,3285,15
104,"Mizo kakaó,Madártej,Laktózmentes 330ml",,239,,189,2835/15,,,219,3285,15
105,Adrenalin energiaital 250 ml ALMA-GÖRÖGDINNYE,,129,,,,104,2496/24,119,2856,24
106,Adrenalin energiaital 250 ml ALMA-KÖRTE-LIME,,129,,,,104,2496/24,119,2856,24
107,Adrenalin energiaital 250 ml ALMA-SZILVA-FAHÉJ,,129,,,,104,2496/24,119,2856,24
108,Adrenalin energiaital 250 ml DOBOZOS,,129,,,,104,2496/24,119,2856,24
109,Adrenalin energiaital 250 ml KAKTUSZ-KIWI,,129,,,,104,2496/24,119,2856,24
110,Adrenalin energiaital 250 ml MANGO ÉS BRAZIL CSERE,,129,,,,104,2496/24,119,2856,24
111,Adrenalin energiaital 250 ml STRAWBERRY-LIME,,129,,,,104,2496/24,119,2856,24
112,Adrenalin energiaital 250 ml ZERO EPER-LIME,,129,,,,104,2496/24,119,2856,24
113,"Balfi ásványvíz 1,5 l DÚS",99,79,,,,67,402/6,,,
114,"Balfi ásványvíz 1,5 l SZÉNSAVMENTES",99,79,,,,67,402/6,,,
115,Hell energiaital 250 ml,189/149,199,149,,,131,3144/24,149,3576,24
116,Hell energiaital 250 ml APPLE + KOFFEIN,189/149,199,149,,,131,3144/24,149,3576,24
117,Hell energiaital 250 ml COLA ÍZŰ,189/149,199,149,,,131,3144/24,149,3576,24
118,Hell energiaital 250 ml EPER CUKORMENTES,189/149,199,149,,,131,3144/24,149,3576,24
119,Hell energiaital 250 ml FOCUS STRONG,189/149,199,149,,,157,3768/24,179,4296,24
120,Hell energiaital 250 ml ICE COOL FEKETERIBIZ.,189/149,199,149,,,131,3144/24,149,3576,24
121,Hell energiaital 250 ml ICE COOL KIWI,189/149,199,149,,,131,3144/24,149,3576,24
122,Hell energiaital 250 ml MULTIVITAMIN,189/149,199,149,,,131,3144/24,149,3576,24
123,Hell energiaital 250 ml RED GRAPE,189/149,199,149,,,131,3144/24,149,3576,24
124,Hell energiaital 250 ml ZERO,189/149,199,149,,,131,3144/24,149,3576,24
125,"Nestea Ice Tea 0,5l",239,239,,,,203,,,,
126,"Vitalade sportital 0,7 l CITROM SPORTKUPAKOS",249/199,249,,,,223,2676/12,249,2988,12
127,"Vitalade sportital 0,7 l GRAPEFRUIT SPORTKUPAKOS",249/199,249,,,,223,2676/12,249,2988,12
128,"Vitalade sportital 0,7 l MULTI SPORTKUPAKOS",249/199,249,,,,223,2676/12,249,2988,12
129,"Vitalade sportital 0,7 l NARANCS SPORTKUPAKOS",249/199,249,,,,223,2676/12,249,2988,12
130,"Xixo ice tea 0,5 l CITROM",189,,,,,122,1464/12,152,1824,12
131,"Xixo ice tea 0,5 l KÖRTE",189,,,,,122,1464/12,152,1824,12
132,"Xixo ice tea 0,5 l ZÖLD TEA LICSIVEL",189,,,,,110,1320/12,152,1824,12
